customer_id,plan,company_size,industry,country,acquisition_channel,activity_count,active_months,integration_failures,feature_usage_count,revenue,transaction_count,ticket_count,integration_ticket_count,avg_resolution_time,feedback_count
C0001,Free,10,Professional Services,India,Paid Ads,36,2,1,10,0.0,0.0,6,1,37.72,1
C0002,Starter,172,FinTech,Germany,Organic,48,4,2,12,196.0,4.0,5,3,46.586,2
C0003,Free,144,SaaS,United States,Organic,17,4,1,3,0.0,0.0,8,3,28.2075,3
C0004,Starter,166,SaaS,India,Partner,108,1,2,21,49.0,1.0,8,1,33.56375,4
C0005,Business,80,SaaS,India,Organic,201,3,5,65,597.0,3.0,2,1,36.545,1
C0006,Free,2,Marketing,United States,Referral,18,3,0,2,0.0,0.0,3,1,44.99333333333333,3
C0007,Free,25,Professional Services,Singapore,Organic,46,4,0,14,0.0,0.0,7,0,37.98428571428571,4
C0008,Starter,51,IT Services,United Kingdom,Organic,77,4,1,22,196.0,4.0,6,1,44.04666666666666,1
C0009,Free,6,Professional Services,Canada,Referral,54,1,1,10,0.0,0.0,6,2,50.16833333333333,2
C0010,Starter,141,Professional Services,India,Referral,57,4,2,13,196.0,4.0,4,2,38.8975,3
C0011,Starter,5,Education,India,Sales,60,2,1,11,98.0,2.0,7,2,15.105714285714287,4
C0012,Free,46,Marketing,United States,Referral,45,1,0,10,0.0,0.0,1,0,59.23,4
C0013,Business,735,Healthcare,Germany,Referral,113,1,2,36,199.0,1.0,6,2,40.84,1
C0014,Starter,34,FinTech,United States,Paid Ads,116,2,3,25,98.0,2.0,3,1,32.92666666666667,3
C0015,Business,919,FinTech,Germany,Organic,148,4,0,34,796.0,4.0,3,1,31.27,1
C0016,Business,78,SaaS,India,Partner,210,2,5,55,398.0,2.0,7,1,26.528571428571432,3
C0017,Starter,62,Marketing,Germany,Organic,90,3,1,21,147.0,3.0,1,0,19.41,1
C0018,Free,3,Marketing,India,Organic,28,4,1,7,0.0,0.0,2,0,26.28,1
C0019,Business,177,SaaS,United States,Referral,116,4,5,28,796.0,4.0,1,1,23.16,1
C0020,Starter,86,E-commerce,Australia,Organic,68,4,0,22,196.0,4.0,6,2,41.01499999999999,2
C0021,Free,7,FinTech,India,Sales,52,4,1,13,0.0,0.0,8,4,32.13625,4
C0022,Free,2,Professional Services,United Kingdom,Sales,28,4,0,7,0.0,0.0,4,3,47.792500000000004,2
C0023,Free,5,Marketing,India,Referral,56,2,0,19,0.0,0.0,7,0,39.855714285714285,4
C0024,Starter,50,FinTech,United Kingdom,Partner,118,2,6,30,98.0,2.0,3,0,47.723333333333336,4
C0025,Free,23,E-commerce,Canada,Partner,28,4,1,6,0.0,0.0,3,1,16.02,1
C0026,Free,4,E-commerce,Canada,Partner,48,2,0,13,0.0,0.0,3,0,40.76,4
C0027,Starter,18,Healthcare,United States,Paid Ads,60,4,1,18,196.0,4.0,3,0,22.25,3
C0028,Starter,36,E-commerce,India,Paid Ads,75,1,3,15,49.0,1.0,4,1,36.545,4
C0029,Business,106,Professional Services,United States,Referral,248,2,6,59,398.0,2.0,6,2,28.82166666666667,2
C0030,Starter,40,SaaS,United Kingdom,Referral,73,2,3,17,98.0,2.0,6,1,31.031666666666666,1
C0031,Free,4,IT Services,India,Organic,33,2,0,4,0.0,0.0,3,1,19.849999999999998,4
C0032,Free,6,SaaS,United States,Referral,39,3,0,11,0.0,0.0,6,3,35.663333333333334,4
C0033,Free,2,E-commerce,India,Partner,24,4,0,5,0.0,0.0,4,2,39.875,2
C0034,Free,7,Marketing,United States,Organic,22,3,1,5,0.0,0.0,3,1,43.04333333333333,4
C0035,Free,13,E-commerce,United States,Organic,34,2,1,11,0.0,0.0,6,1,29.274999999999995,2
C0036,Free,48,E-commerce,United States,Partner,39,3,0,8,0.0,0.0,2,2,60.235,2
C0037,Free,18,E-commerce,India,Organic,23,1,1,4,0.0,0.0,5,1,29.880000000000003,2
C0038,Free,8,Healthcare,Australia,Paid Ads,24,1,0,7,0.0,0.0,7,1,37.93285714285714,3
C0039,Free,8,SaaS,United States,Paid Ads,46,4,0,9,0.0,0.0,3,1,30.77333333333333,1
C0040,Free,10,FinTech,India,Paid Ads,42,1,0,10,0.0,0.0,2,0,24.28,1
C0041,Starter,180,SaaS,India,Sales,56,1,1,13,49.0,1.0,5,1,37.72,4
C0042,Starter,19,E-commerce,United States,Sales,88,4,0,25,196.0,4.0,4,0,45.5625,1
C0043,Starter,42,Healthcare,United Kingdom,Organic,80,2,0,18,98.0,2.0,3,0,35.24666666666667,3
C0044,Free,1,SaaS,United States,Referral,19,3,1,2,0.0,0.0,4,1,39.9525,3
C0045,Free,9,IT Services,Germany,Paid Ads,33,3,2,8,0.0,0.0,1,0,29.34,1
C0046,Business,63,Healthcare,Canada,Organic,114,3,2,28,597.0,3.0,8,0,40.7375,4
C0047,Free,9,Healthcare,United States,Referral,36,4,0,8,0.0,0.0,4,2,27.490000000000002,3
C0048,Starter,7,Marketing,Canada,Paid Ads,71,4,2,18,196.0,4.0,1,1,50.95,1
C0049,Free,10,SaaS,United States,Organic,32,1,0,6,0.0,0.0,7,1,28.122857142857146,1
C0050,Free,8,Healthcare,India,Partner,21,3,1,3,0.0,0.0,8,2,41.22125,4
C0051,Starter,181,IT Services,India,Paid Ads,88,4,2,19,196.0,4.0,3,1,38.413333333333334,4
C0052,Free,96,IT Services,Germany,Paid Ads,20,4,0,4,0.0,0.0,7,2,35.33428571428571,1
C0053,Free,48,Healthcare,India,Referral,27,3,0,6,0.0,0.0,2,0,68.225,2
C0054,Free,22,FinTech,United States,Sales,24,4,0,6,0.0,0.0,7,3,31.240000000000002,2
C0055,Free,3,SaaS,Canada,Organic,48,3,0,12,0.0,0.0,3,1,50.71666666666667,2
C0056,Starter,17,Professional Services,United States,Referral,94,1,3,24,49.0,1.0,6,1,30.745,4
C0057,Starter,35,FinTech,United Kingdom,Paid Ads,93,3,0,25,147.0,3.0,2,0,47.440000000000005,3
C0058,Free,10,Professional Services,India,Partner,60,2,0,13,0.0,0.0,5,0,32.794,4
C0059,Free,10,Healthcare,United States,Referral,39,3,0,12,0.0,0.0,3,1,22.810000000000002,4
C0060,Free,6,FinTech,India,Referral,44,1,0,11,0.0,0.0,3,1,14.986666666666666,2
C0061,Free,43,SaaS,United States,Organic,24,4,0,6,0.0,0.0,2,0,44.845,2
C0062,Free,149,SaaS,India,Organic,13,1,0,4,0.0,0.0,2,2,64.645,1
C0063,Starter,37,Professional Services,India,Partner,99,3,1,26,147.0,3.0,2,0,38.915,1
C0064,Free,49,FinTech,India,Organic,13,2,1,2,0.0,0.0,6,1,23.046666666666667,2
C0065,Free,4,Education,United States,Referral,39,4,1,10,0.0,0.0,5,0,34.989999999999995,4
C0066,Starter,121,Education,Australia,Paid Ads,59,1,0,11,49.0,1.0,3,0,14.096666666666666,2
C0067,Free,7,SaaS,United States,Referral,27,3,0,7,0.0,0.0,7,2,42.02428571428572,2
C0068,Free,6,Education,United States,Organic,23,4,2,6,0.0,0.0,1,0,62.16,3
C0069,Starter,29,Healthcare,India,Referral,84,2,3,21,98.0,2.0,8,2,45.46875,3
C0070,Free,8,Healthcare,India,Partner,54,3,0,15,0.0,0.0,4,0,34.83,2
C0071,Free,19,SaaS,United States,Referral,32,1,1,3,0.0,0.0,5,0,41.876,1
C0072,Free,86,Education,United States,Referral,34,2,1,12,0.0,0.0,4,2,30.3875,3
C0073,Starter,7,IT Services,India,Sales,94,2,1,22,98.0,2.0,5,1,47.438,2
C0074,Starter,49,FinTech,United States,Paid Ads,98,1,3,25,49.0,1.0,1,0,46.42,3
C0075,Free,9,Professional Services,United Kingdom,Organic,18,1,0,4,0.0,0.0,7,2,49.83142857142857,3
C0076,Business,30,SaaS,United States,Organic,234,3,7,66,597.0,3.0,8,3,36.135,2
C0077,Free,46,IT Services,India,Organic,34,2,0,9,0.0,0.0,7,1,46.60857142857143,3
C0078,Business,6,SaaS,India,Paid Ads,212,4,4,43,796.0,4.0,4,2,49.1475,2
C0079,Starter,192,Professional Services,United States,Referral,53,1,1,17,49.0,1.0,5,2,39.758,1
C0080,Free,4,Marketing,India,Referral,52,4,1,3,0.0,0.0,7,0,40.74571428571428,1
C0081,Free,102,FinTech,United Kingdom,Paid Ads,22,4,1,2,0.0,0.0,6,1,22.425,2
C0082,Business,104,FinTech,India,Referral,180,2,2,48,398.0,2.0,8,3,40.52375,3
C0083,Free,10,Healthcare,United States,Organic,56,4,1,17,0.0,0.0,6,2,40.681666666666665,4
C0084,Free,29,Education,India,Organic,31,1,1,11,0.0,0.0,6,4,29.15833333333333,2
C0085,Starter,6,SaaS,Singapore,Referral,51,3,1,19,147.0,3.0,8,1,42.385000000000005,3
C0086,Starter,3,IT Services,United States,Organic,72,4,0,20,196.0,4.0,8,2,42.06625,3
C0087,Free,22,Healthcare,India,Referral,54,1,2,16,0.0,0.0,8,2,35.705,4
C0088,Business,179,Education,United States,Sales,244,4,6,58,796.0,4.0,7,1,49.48285714285714,4
C0089,Business,189,FinTech,India,Organic,229,1,6,61,199.0,1.0,2,0,62.105,3
C0090,Free,6,FinTech,India,Referral,48,4,1,18,0.0,0.0,8,0,44.51875,4
C0091,Free,2,IT Services,United Kingdom,Organic,21,3,0,5,0.0,0.0,2,1,39.31,4
C0092,Free,6,E-commerce,India,Sales,28,3,1,8,0.0,0.0,3,1,20.286666666666665,4
C0093,Free,46,E-commerce,United Kingdom,Organic,30,3,2,6,0.0,0.0,8,0,42.8875,1
C0094,Free,8,Education,Germany,Referral,20,2,2,3,0.0,0.0,2,0,19.655,4
C0095,Free,200,SaaS,United Kingdom,Paid Ads,46,1,1,6,0.0,0.0,2,0,35.38,3
C0096,Free,10,E-commerce,India,Partner,39,3,1,12,0.0,0.0,1,0,26.93,1
C0097,Starter,7,E-commerce,United Kingdom,Referral,64,4,1,13,196.0,4.0,6,2,44.725,1
C0098,Free,9,FinTech,India,Partner,24,3,0,7,0.0,0.0,3,1,28.24666666666667,4
C0099,Free,5,SaaS,United States,Organic,18,3,0,4,0.0,0.0,6,0,27.258333333333336,4
C0100,Free,159,IT Services,Canada,Organic,40,4,0,7,0.0,0.0,8,2,33.871249999999996,1
C0101,Starter,11,FinTech,United States,Organic,92,2,1,21,98.0,2.0,5,0,48.809999999999995,2
C0102,Starter,44,Professional Services,Singapore,Organic,47,3,1,13,147.0,3.0,4,0,33.465,2
C0103,Free,2,FinTech,Australia,Referral,44,2,1,10,0.0,0.0,5,3,33.018,4
C0104,Free,12,E-commerce,India,Organic,21,1,0,5,0.0,0.0,1,0,17.47,2
C0105,Business,591,Marketing,India,Paid Ads,246,2,4,63,398.0,2.0,1,0,4.87,2
C0106,Free,3,Healthcare,India,Sales,26,2,0,10,0.0,0.0,2,0,39.260000000000005,2
C0107,Starter,14,SaaS,United Kingdom,Partner,96,4,5,26,196.0,4.0,6,1,45.20166666666666,4
C0108,Free,1,FinTech,India,Referral,30,2,1,7,0.0,0.0,4,0,41.7475,2
C0109,Free,4,SaaS,India,Referral,58,2,3,14,0.0,0.0,3,0,59.32666666666666,1
