customer_id,signup_date,country,industry,company_size,plan,acquisition_channel
C0001,2026-03-23,India,Professional Services,10,Free,Paid Ads
C0002,2026-01-15,Germany,FinTech,172,Starter,Organic
C0003,2026-01-04,United States,SaaS,144,Free,Organic
C0004,2026-04-05,India,SaaS,166,Starter,Partner
C0005,2026-02-05,India,SaaS,80,Business,Organic
C0006,2026-02-01,United States,Marketing,2,Free,Referral
C0007,2026-01-29,Singapore,Professional Services,25,Free,Organic
C0008,2026-01-18,United Kingdom,IT Services,51,Starter,Organic
C0009,2026-04-05,Canada,Professional Services,6,Free,Referral
C0010,2026-01-14,India,Professional Services,141,Starter,Referral
C0011,2026-03-28,India,Education,5,Starter,Sales
C0012,2026-04-05,United States,Marketing,46,Free,Referral
C0013,2026-04-25,Germany,Healthcare,735,Business,Referral
C0014,2026-03-11,United States,FinTech,34,Starter,Paid Ads
C0015,2026-01-12,Germany,FinTech,919,Business,Organic
C0016,2026-03-17,India,SaaS,78,Business,Partner
C0017,2026-02-24,Germany,Marketing,62,Starter,Organic
C0018,2026-01-05,India,Marketing,3,Free,Organic
C0019,2026-01-04,United States,SaaS,177,Business,Referral
C0020,2026-01-12,Australia,E-commerce,86,Starter,Organic
C0021,2026-01-28,India,FinTech,7,Free,Sales
C0022,2026-01-30,United Kingdom,Professional Services,2,Free,Sales
C0023,2026-03-06,India,Marketing,5,Free,Referral
C0024,2026-03-19,United Kingdom,FinTech,50,Starter,Partner
C0025,2026-01-04,Canada,E-commerce,23,Free,Partner
C0026,2026-03-13,Canada,E-commerce,4,Free,Partner
C0027,2026-01-26,United States,Healthcare,18,Starter,Paid Ads
C0028,2026-04-02,India,E-commerce,36,Starter,Paid Ads
C0029,2026-03-25,United States,Professional Services,106,Business,Referral
C0030,2026-03-31,United Kingdom,SaaS,40,Starter,Referral
C0031,2026-03-11,India,IT Services,4,Free,Organic
C0032,2026-02-23,United States,SaaS,6,Free,Referral
C0033,2026-01-29,India,E-commerce,2,Free,Partner
C0034,2026-02-27,United States,Marketing,7,Free,Organic
C0035,2026-03-17,United States,E-commerce,13,Free,Organic
C0036,2026-02-05,United States,E-commerce,48,Free,Partner
C0037,2026-04-14,India,E-commerce,18,Free,Organic
C0038,2026-04-22,Australia,Healthcare,8,Free,Paid Ads
C0039,2026-01-01,United States,SaaS,8,Free,Paid Ads
C0040,2026-04-08,India,FinTech,10,Free,Paid Ads
C0041,2026-04-14,India,SaaS,180,Starter,Sales
C0042,2026-01-21,United States,E-commerce,19,Starter,Sales
C0043,2026-03-31,United Kingdom,Healthcare,42,Starter,Organic
C0044,2026-02-24,United States,SaaS,1,Free,Referral
C0045,2026-02-13,Germany,IT Services,9,Free,Paid Ads
C0046,2026-02-05,Canada,Healthcare,63,Business,Organic
C0047,2026-01-20,United States,Healthcare,9,Free,Referral
C0048,2026-01-28,Canada,Marketing,7,Starter,Paid Ads
C0049,2026-04-08,United States,SaaS,10,Free,Organic
C0050,2026-02-13,India,Healthcare,8,Free,Partner
C0051,2026-01-14,India,IT Services,181,Starter,Paid Ads
C0052,2026-01-12,Germany,IT Services,96,Free,Paid Ads
C0053,2026-02-18,India,Healthcare,48,Free,Referral
C0054,2026-01-13,United States,FinTech,22,Free,Sales
C0055,2026-02-15,Canada,SaaS,3,Free,Organic
C0056,2026-04-19,United States,Professional Services,17,Starter,Referral
C0057,2026-02-14,United Kingdom,FinTech,35,Starter,Paid Ads
C0058,2026-03-19,India,Professional Services,10,Free,Partner
C0059,2026-02-03,United States,Healthcare,10,Free,Referral
C0060,2026-04-14,India,FinTech,6,Free,Referral
C0061,2026-01-06,United States,SaaS,43,Free,Organic
C0062,2026-04-04,India,SaaS,149,Free,Organic
C0063,2026-02-28,India,Professional Services,37,Starter,Partner
