transaction_id,customer_id,date,amount,type,status
T000001,C0002,2026-01-15,49,subscription,successful
T000002,C0002,2026-02-15,49,subscription,successful
T000003,C0002,2026-03-15,49,subscription,successful
T000004,C0002,2026-04-15,49,subscription,successful
T000005,C0004,2026-04-05,49,subscription,successful
T000006,C0005,2026-02-05,199,subscription,successful
T000007,C0005,2026-03-05,199,subscription,successful
T000008,C0005,2026-04-05,199,subscription,successful
T000009,C0008,2026-01-18,49,subscription,successful
T000010,C0008,2026-02-18,49,subscription,successful
T000011,C0008,2026-03-18,49,subscription,successful
T000012,C0008,2026-04-18,49,subscription,successful
T000013,C0010,2026-01-14,49,subscription,successful
T000014,C0010,2026-02-14,49,subscription,successful
T000015,C0010,2026-03-14,49,subscription,successful
T000016,C0010,2026-04-14,49,subscription,successful
T000017,C0011,2026-03-28,49,subscription,successful
T000018,C0011,2026-04-28,49,subscription,successful
T000019,C0013,2026-04-25,199,subscription,successful
T000020,C0014,2026-03-11,49,subscription,successful
T000021,C0014,2026-04-11,49,subscription,successful
T000022,C0015,2026-01-12,199,subscription,successful
T000023,C0015,2026-02-12,199,subscription,successful
T000024,C0015,2026-03-12,199,subscription,successful
T000025,C0015,2026-04-12,199,subscription,successful
T000026,C0016,2026-03-17,199,subscription,successful
T000027,C0016,2026-04-17,199,subscription,successful
T000028,C0017,2026-02-24,49,subscription,successful
T000029,C0017,2026-03-24,49,subscription,successful
T000030,C0017,2026-04-24,49,subscription,successful
T000031,C0019,2026-01-04,199,subscription,successful
T000032,C0019,2026-02-04,199,subscription,successful
T000033,C0019,2026-03-04,199,subscription,successful
T000034,C0019,2026-04-04,199,subscription,successful
T000035,C0020,2026-01-12,49,subscription,successful
T000036,C0020,2026-02-12,49,subscription,successful
T000037,C0020,2026-03-12,49,subscription,successful
T000038,C0020,2026-04-12,49,subscription,successful
T000039,C0024,2026-03-19,49,subscription,successful
T000040,C0024,2026-04-19,49,subscription,successful
T000041,C0027,2026-01-26,49,subscription,successful
T000042,C0027,2026-02-26,49,subscription,successful
T000043,C0027,2026-03-26,49,subscription,successful
T000044,C0027,2026-04-26,49,subscription,successful
T000045,C0028,2026-04-02,49,subscription,successful
T000046,C0029,2026-03-25,199,subscription,successful
T000047,C0029,2026-04-25,199,subscription,successful
T000048,C0030,2026-03-31,49,subscription,successful
T000049,C0030,2026-04-30,49,subscription,successful
T000050,C0041,2026-04-14,49,subscription,successful
T000051,C0042,2026-01-21,49,subscription,successful
T000052,C0042,2026-02-21,49,subscription,successful
T000053,C0042,2026-03-21,49,subscription,successful
T000054,C0042,2026-04-21,49,subscription,successful
T000055,C0043,2026-03-31,49,subscription,successful
T000056,C0043,2026-04-30,49,subscription,successful
T000057,C0046,2026-02-05,199,subscription,successful
T000058,C0046,2026-03-05,199,subscription,successful
T000059,C0046,2026-04-05,199,subscription,successful
T000060,C0048,2026-01-28,49,subscription,successful
T000061,C0048,2026-02-28,49,subscription,successful
T000062,C0048,2026-03-28,49,subscription,successful
T000063,C0048,2026-04-28,49,subscription,successful
T000064,C0051,2026-01-14,49,subscription,successful
T000065,C0051,2026-02-14,49,subscription,successful
T000066,C0051,2026-03-14,49,subscription,successful
