event_id,customer_id,timestamp,event,feature
E000001,C0001,2026-03-25 03:15:33,report_created,dashboard
E000002,C0001,2026-03-31 18:26:08,feature_used,dashboard
E000003,C0001,2026-03-23 16:06:54,dashboard_viewed,dashboard
E000004,C0001,2026-03-26 19:25:53,report_created,dashboard
E000005,C0001,2026-03-27 22:32:57,dashboard_viewed,dashboard
E000006,C0001,2026-03-27 19:36:14,dashboard_viewed,reports
E000007,C0001,2026-03-25 20:45:07,login,analytics
E000008,C0001,2026-03-24 11:08:22,feature_used,analytics
E000009,C0001,2026-03-29 08:59:35,login,dashboard
E000010,C0001,2026-03-25 21:20:41,report_created,integrations
E000011,C0001,2026-03-26 23:54:41,dashboard_viewed,team_management
E000012,C0001,2026-03-25 20:43:19,dashboard_viewed,reports
E000013,C0001,2026-03-24 18:01:26,login,reports
E000014,C0001,2026-03-26 07:58:03,feature_used,integrations
E000015,C0001,2026-03-30 03:41:55,login,analytics
E000016,C0001,2026-03-27 13:08:26,integration_connected,dashboard
E000017,C0001,2026-03-26 20:11:03,feature_used,team_management
E000018,C0001,2026-03-31 06:51:43,login,integrations
E000019,C0001,2026-04-08 00:50:03,feature_used,integrations
E000020,C0001,2026-04-15 23:02:44,login,analytics
E000021,C0001,2026-04-02 16:33:21,dashboard_viewed,dashboard
E000022,C0001,2026-04-12 15:14:33,login,team_management
E000023,C0001,2026-04-16 00:19:26,report_created,integrations
E000024,C0001,2026-04-06 22:12:10,feature_used,reports
E000025,C0001,2026-04-22 11:26:11,feature_used,team_management
E000026,C0001,2026-04-13 09:43:05,feature_used,reports
E000027,C0001,2026-04-15 10:31:22,login,reports
E000028,C0001,2026-04-22 07:17:32,report_created,team_management
E000029,C0001,2026-04-02 15:28:30,login,dashboard
E000030,C0001,2026-04-24 20:51:45,feature_used,team_management
E000031,C0001,2026-04-17 03:38:58,integration_connected,dashboard
E000032,C0001,2026-04-08 18:48:48,integration_connected,analytics
E000033,C0001,2026-04-04 05:19:24,feature_used,analytics
E000034,C0001,2026-04-27 14:08:56,integration_failed,team_management
E000035,C0001,2026-04-02 07:51:57,team_member_invited,reports
E000036,C0001,2026-04-22 12:36:15,team_member_invited,reports
E000037,C0002,2026-01-30 06:00:32,feature_used,analytics
E000038,C0002,2026-01-16 23:54:13,login,reports
E000039,C0002,2026-01-27 12:48:17,integration_connected,reports
E000040,C0002,2026-01-29 10:02:22,integration_connected,integrations
E000041,C0002,2026-01-25 23:00:42,feature_used,reports
E000042,C0002,2026-01-21 07:51:25,login,analytics
E000043,C0002,2026-01-22 22:49:45,team_member_invited,reports
E000044,C0002,2026-01-17 01:09:57,feature_used,reports
E000045,C0002,2026-01-24 13:13:37,dashboard_viewed,analytics
E000046,C0002,2026-01-20 10:46:23,login,dashboard
E000047,C0002,2026-01-28 13:22:02,report_created,reports
E000048,C0002,2026-01-17 03:49:57,dashboard_viewed,reports
E000049,C0002,2026-02-13 16:59:58,integration_connected,reports
E000050,C0002,2026-02-03 10:00:04,feature_used,team_management
E000051,C0002,2026-02-13 15:06:20,login,integrations
E000052,C0002,2026-02-09 06:12:27,dashboard_viewed,dashboard
E000053,C0002,2026-02-01 16:26:42,integration_connected,team_management
E000054,C0002,2026-02-23 00:36:28,dashboard_viewed,team_management
E000055,C0002,2026-02-06 18:04:36,login,reports
E000056,C0002,2026-02-10 06:00:00,dashboard_viewed,integrations
E000057,C0002,2026-02-14 23:30:00,integration_failed,team_management
E000058,C0002,2026-02-07 07:41:35,feature_used,reports
E000059,C0002,2026-02-11 11:09:11,dashboard_viewed,integrations
E000060,C0002,2026-02-10 04:37:26,feature_used,team_management
E000061,C0002,2026-03-08 02:02:08,login,integrations
E000062,C0002,2026-03-12 10:21:38,report_created,reports
E000063,C0002,2026-03-18 22:39:33,report_created,team_management
E000064,C0002,2026-03-05 03:53:34,login,reports
E000065,C0002,2026-03-16 16:36:31,dashboard_viewed,team_management
E000066,C0002,2026-03-11 07:15:05,integration_connected,team_management
E000067,C0002,2026-03-29 23:47:01,login,dashboard
E000068,C0002,2026-03-28 00:57:07,login,integrations
E000069,C0002,2026-03-12 09:36:36,feature_used,integrations
E000070,C0002,2026-03-30 10:28:38,dashboard_viewed,analytics
E000071,C0002,2026-03-03 05:01:30,login,analytics
E000072,C0002,2026-03-31 01:57:13,feature_used,team_management
E000073,C0002,2026-04-19 00:07:52,login,analytics
E000074,C0002,2026-04-02 23:54:50,report_created,integrations
E000075,C0002,2026-04-09 05:54:31,feature_used,integrations
E000076,C0002,2026-04-23 17:21:30,login,integrations
E000077,C0002,2026-04-26 17:59:18,feature_used,integrations
E000078,C0002,2026-04-06 16:07:51,feature_used,reports
E000079,C0002,2026-04-25 05:37:21,dashboard_viewed,integrations
E000080,C0002,2026-04-18 12:07:13,dashboard_viewed,integrations
E000081,C0002,2026-04-13 18:40:09,report_created,integrations
E000082,C0002,2026-04-26 02:19:00,feature_used,reports
E000083,C0002,2026-04-16 07:38:02,integration_failed,team_management
E000084,C0002,2026-04-08 08:14:10,report_created,team_management
E000085,C0003,2026-01-06 15:34:31,login,dashboard
E000086,C0003,2026-01-26 19:52:41,login,team_management
E000087,C0003,2026-01-25 04:28:39,login,team_management
E000088,C0003,2026-01-05 23:31:32,feature_used,analytics
E000089,C0003,2026-01-27 13:17:54,feature_used,dashboard
E000090,C0003,2026-02-08 04:29:42,login,dashboard
E000091,C0003,2026-02-10 21:22:01,dashboard_viewed,reports
