lead_id,company_size,industry,source,plan_interest,sales_stage,deal_value,outcome,converted_customer_id
L000001,945,E-commerce,Referral,Business,Qualified,14597,In Progress,
L000002,110,E-commerce,Paid Ads,Starter,Proposal,12972,Lost,
L000003,450,E-commerce,Paid Ads,Starter,Qualified,656,Lost,
L000004,833,Marketing,Partner,Business,Proposal,19936,Lost,
L000005,639,Professional Services,Referral,Business,Qualified,8200,Converted,C0596
L000006,302,E-commerce,Outbound,Business,Proposal,12142,In Progress,
L000007,631,IT Services,Outbound,Business,Negotiation,1550,In Progress,
L000008,395,Education,Partner,Business,New,18897,Lost,
L000009,421,Professional Services,Paid Ads,Business,New,10635,Lost,
L000010,552,Healthcare,Website,Starter,Proposal,4247,Converted,C0041
L000011,5,Professional Services,Partner,Starter,Demo,16724,Lost,
L000012,117,FinTech,Partner,Starter,Proposal,8132,In Progress,
L000013,394,FinTech,Outbound,Business,Proposal,17253,Lost,
L000014,438,Marketing,Partner,Business,Negotiation,7766,Converted,C0069
L000015,24,E-commerce,Partner,Free,Negotiation,4234,Lost,
L000016,639,IT Services,Referral,Business,New,7679,Converted,C0328
L000017,160,IT Services,Outbound,Starter,Qualified,19847,Lost,
L000018,729,IT Services,Website,Starter,New,19483,Converted,C0493
L000019,897,Marketing,Partner,Business,Negotiation,6119,Converted,C0130
L000020,596,IT Services,Partner,Business,Proposal,13778,In Progress,
L000021,436,Education,Referral,Business,Demo,6591,Lost,
L000022,485,Professional Services,Outbound,Starter,Qualified,15382,Converted,C0040
L000023,824,Education,Website,Starter,Negotiation,6377,Converted,C0304
L000024,646,SaaS,Partner,Business,New,19020,Lost,
L000025,798,Healthcare,Outbound,Business,New,847,Converted,C0684
L000026,25,Healthcare,Referral,Free,Negotiation,1148,In Progress,
L000027,194,Healthcare,Outbound,Business,New,15550,Converted,C0700
L000028,166,E-commerce,Paid Ads,Starter,Demo,10582,In Progress,
L000029,782,Marketing,Referral,Business,Demo,11744,Converted,C0350
L000030,942,FinTech,Partner,Business,Demo,10354,Lost,
L000031,698,SaaS,Website,Business,Demo,16575,Converted,C0225
L000032,547,FinTech,Website,Business,Proposal,2948,Converted,C0614
L000033,672,Healthcare,Paid Ads,Starter,New,18261,In Progress,
L000034,73,FinTech,Website,Business,Negotiation,3235,Converted,C0714
L000035,644,IT Services,Paid Ads,Business,New,19529,Lost,
L000036,760,Healthcare,Website,Business,Demo,13900,In Progress,
L000037,374,SaaS,Partner,Business,Negotiation,7406,Converted,C0724
L000038,502,Education,Referral,Business,Negotiation,4818,In Progress,
L000039,868,IT Services,Website,Starter,Negotiation,12079,Lost,
L000040,679,FinTech,Paid Ads,Starter,Demo,14370,In Progress,
L000041,292,Marketing,Partner,Business,Demo,4293,In Progress,
L000042,102,Professional Services,Paid Ads,Starter,Qualified,11860,Converted,C0724
L000043,253,Education,Website,Business,Demo,4721,Converted,C0962
L000044,535,E-commerce,Partner,Business,Proposal,14349,Converted,C0508
L000045,29,Professional Services,Partner,Starter,Qualified,3456,Converted,C0299
L000046,250,SaaS,Paid Ads,Business,New,15512,In Progress,
L000047,123,IT Services,Outbound,Starter,New,13993,In Progress,
L000048,94,E-commerce,Website,Starter,Negotiation,2592,In Progress,
L000049,48,Professional Services,Website,Free,Negotiation,17302,In Progress,
L000050,643,Healthcare,Paid Ads,Starter,New,16183,In Progress,
L000051,158,Marketing,Website,Starter,Negotiation,15246,Lost,
L000052,45,SaaS,Paid Ads,Free,New,15968,Converted,C0064
L000053,730,IT Services,Outbound,Business,Negotiation,14963,Converted,C0988
L000054,638,SaaS,Paid Ads,Starter,Demo,10436,In Progress,
L000055,552,FinTech,Website,Business,Demo,12721,Converted,C0082
L000056,230,IT Services,Partner,Business,Qualified,6991,Converted,C0396
L000057,396,Healthcare,Outbound,Business,Qualified,2672,Converted,C0681
L000058,122,IT Services,Referral,Starter,Negotiation,14475,In Progress,
L000059,786,FinTech,Paid Ads,Business,Negotiation,15314,In Progress,
L000060,991,E-commerce,Website,Business,Qualified,3158,Lost,
L000061,733,SaaS,Outbound,Business,New,575,In Progress,
L000062,601,E-commerce,Referral,Starter,Proposal,3832,Lost,
L000063,881,E-commerce,Website,Business,Qualified,19928,In Progress,
L000064,147,FinTech,Partner,Starter,Demo,1430,Converted,C0842
L000065,762,Professional Services,Referral,Business,Negotiation,4555,In Progress,
L000066,689,FinTech,Paid Ads,Business,Negotiation,12347,Lost,
L000067,511,IT Services,Paid Ads,Business,Proposal,7451,Lost,
L000068,736,IT Services,Outbound,Business,Qualified,4328,Lost,
L000069,700,Education,Referral,Business,New,7035,In Progress,
L000070,60,Education,Referral,Starter,Negotiation,2542,In Progress,
L000071,858,SaaS,Partner,Starter,Proposal,11357,Lost,
L000072,381,Healthcare,Paid Ads,Business,Proposal,14694,In Progress,
L000073,113,Marketing,Paid Ads,Starter,Demo,10739,Converted,C0948
L000074,511,Professional Services,Outbound,Business,Demo,6019,Lost,
L000075,649,IT Services,Paid Ads,Business,New,11163,Converted,C0396
L000076,172,Healthcare,Website,Business,Negotiation,5313,In Progress,
L000077,79,IT Services,Website,Business,Qualified,3502,Lost,
L000078,756,Professional Services,Partner,Business,Proposal,8146,In Progress,
L000079,809,Healthcare,Partner,Starter,Qualified,15905,In Progress,
L000080,526,Healthcare,Paid Ads,Starter,Demo,3974,Lost,
L000081,784,Healthcare,Website,Business,Demo,8622,Lost,
L000082,228,IT Services,Outbound,Starter,Demo,5588,In Progress,
L000083,444,Marketing,Referral,Business,Qualified,4769,Converted,C0705
L000084,947,Healthcare,Paid Ads,Business,Qualified,1049,Lost,
L000085,101,Marketing,Referral,Business,Demo,18060,Lost,
L000086,943,Healthcare,Outbound,Business,Qualified,15404,Lost,
L000087,280,Healthcare,Website,Business,New,5653,In Progress,
L000088,493,SaaS,Outbound,Starter,Proposal,2397,In Progress,
L000089,239,Healthcare,Paid Ads,Starter,Demo,10401,Lost,
L000090,484,Healthcare,Partner,Starter,Proposal,11628,Lost,
L000091,819,E-commerce,Paid Ads,Business,Negotiation,9360,In Progress,
L000092,199,E-commerce,Partner,Business,New,4644,Converted,C0676
L000093,812,Marketing,Referral,Business,Negotiation,3503,In Progress,
L000094,469,IT Services,Outbound,Business,Demo,12827,In Progress,
L000095,874,E-commerce,Website,Business,Negotiation,14814,Lost,
L000096,995,Education,Referral,Starter,Negotiation,16201,Converted,C0978
L000097,186,FinTech,Partner,Starter,Negotiation,15676,Lost,
L000098,536,E-commerce,Outbound,Business,New,18268,Converted,C0317
L000099,274,Education,Referral,Business,Negotiation,9599,Converted,C0526
L000100,209,Marketing,Website,Business,Negotiation,9598,Converted,C0588
L000101,895,Education,Referral,Business,Proposal,12035,Lost,
L000102,932,Healthcare,Paid Ads,Business,Demo,9660,Lost,
L000103,68,Marketing,Paid Ads,Starter,Demo,11741,Lost,
L000104,960,SaaS,Outbound,Starter,Negotiation,12365,Lost,
L000105,688,FinTech,Referral,Business,New,14694,Lost,
L000106,257,Education,Paid Ads,Starter,Qualified,9631,Lost,
L000107,887,IT Services,Outbound,Starter,Demo,13032,Lost,
L000108,467,E-commerce,Referral,Starter,Negotiation,1541,In Progress,
L000109,631,E-commerce,Referral,Business,Proposal,6680,Lost,
L000110,826,SaaS,Website,Business,Demo,10531,In Progress,
L000111,293,Marketing,Paid Ads,Business,Demo,6080,In Progress,
L000112,557,Marketing,Paid Ads,Business,Qualified,3329,In Progress,
L000113,899,IT Services,Referral,Business,Demo,17748,Lost,
L000114,666,FinTech,Website,Business,Negotiation,8072,Lost,
L000115,85,E-commerce,Website,Starter,New,999,In Progress,
L000116,535,FinTech,Outbound,Business,Negotiation,11277,Converted,C0950
L000117,229,Healthcare,Partner,Starter,Negotiation,6496,Lost,
L000118,79,Healthcare,Website,Starter,Proposal,8196,Lost,
L000119,65,FinTech,Partner,Business,Negotiation,6612,Lost,
L000120,103,E-commerce,Website,Business,New,19530,Converted,C0440
L000121,58,Healthcare,Partner,Business,Negotiation,7267,Lost,
L000122,214,Education,Referral,Business,Qualified,18222,Lost,
L000123,692,Education,Partner,Business,Qualified,4266,In Progress,
L000124,167,FinTech,Outbound,Business,Qualified,14564,Converted,C0160
L000125,424,E-commerce,Partner,Business,Proposal,1477,Converted,C0693
L000126,892,E-commerce,Website,Starter,Negotiation,13073,Lost,
L000127,420,FinTech,Outbound,Starter,New,2410,In Progress,
L000128,525,IT Services,Partner,Business,Negotiation,15713,Lost,
L000129,196,IT Services,Paid Ads,Business,New,5559,Converted,C0517
L000130,159,SaaS,Website,Starter,Qualified,11699,In Progress,
L000131,295,E-commerce,Website,Starter,Qualified,19451,Lost,
L000132,923,Education,Website,Business,Demo,2304,Converted,C0466
L000133,339,Professional Services,Outbound,Business,Qualified,15733,Converted,C0628
L000134,810,E-commerce,Website,Business,New,4795,In Progress,
L000135,958,IT Services,Referral,Starter,Demo,3965,Converted,C0331
L000136,575,Marketing,Paid Ads,Business,Proposal,18353,Converted,C0129
L000137,146,Marketing,Paid Ads,Starter,Negotiation,14784,Converted,C0839
L000138,616,IT Services,Partner,Business,Qualified,14222,In Progress,
L000139,301,Professional Services,Website,Business,New,16089,Converted,C0697
L000140,724,SaaS,Referral,Business,Negotiation,14830,Lost,
L000141,397,Marketing,Referral,Business,Proposal,1571,Converted,C0903
L000142,454,Marketing,Paid Ads,Business,Proposal,19406,Converted,C0860
L000143,732,SaaS,Partner,Business,Negotiation,13291,In Progress,
L000144,449,Healthcare,Website,Business,Demo,6838,Converted,C0640
L000145,462,Marketing,Referral,Starter,Demo,2125,Converted,C0610
L000146,288,IT Services,Website,Starter,Negotiation,15064,In Progress,
L000147,231,SaaS,Website,Business,Demo,9584,Converted,C0728
L000148,509,FinTech,Website,Business,Demo,12575,Lost,
L000149,506,E-commerce,Paid Ads,Starter,New,5199,In Progress,
L000150,366,Professional Services,Outbound,Business,Demo,14551,Converted,C0591
L000151,14,FinTech,Partner,Starter,Negotiation,16144,Converted,C0554
L000152,711,E-commerce,Outbound,Business,Demo,4872,Converted,C0247
L000153,764,Healthcare,Paid Ads,Starter,Qualified,5624,Converted,C0490
L000154,56,Healthcare,Partner,Business,Negotiation,19238,Converted,C0773
L000155,333,Healthcare,Partner,Starter,Qualified,11437,Converted,C0440
L000156,189,SaaS,Website,Business,Demo,15748,In Progress,
L000157,445,SaaS,Outbound,Business,Negotiation,18667,Lost,
L000158,481,FinTech,Website,Starter,Proposal,18544,Lost,
L000159,468,Marketing,Referral,Business,Demo,2810,Converted,C0595
L000160,592,SaaS,Website,Business,Qualified,7904,Lost,
L000161,47,Healthcare,Website,Free,Demo,14513,In Progress,
L000162,469,Healthcare,Partner,Business,Qualified,13432,In Progress,
L000163,971,SaaS,Partner,Business,New,17013,In Progress,
L000164,216,Education,Partner,Business,Proposal,11254,Converted,C0723
L000165,981,Marketing,Referral,Business,Demo,2221,Converted,C0731
L000166,703,Education,Paid Ads,Business,New,18169,In Progress,
L000167,327,IT Services,Website,Starter,Proposal,19247,In Progress,
L000168,830,SaaS,Outbound,Business,Demo,16679,Converted,C0222
L000169,900,Marketing,Paid Ads,Business,New,18284,Lost,
L000170,433,E-commerce,Outbound,Business,Negotiation,4983,In Progress,
L000171,564,Professional Services,Paid Ads,Business,Proposal,9720,In Progress,
L000172,819,E-commerce,Outbound,Business,Demo,7829,Converted,C0219
L000173,462,E-commerce,Partner,Business,Demo,19278,Converted,C0362
L000174,766,Education,Referral,Business,New,12313,In Progress,
L000175,87,Marketing,Partner,Business,Negotiation,8781,Converted,C0755
L000176,443,SaaS,Referral,Business,Qualified,1146,In Progress,
L000177,29,IT Services,Paid Ads,Free,Negotiation,11948,Lost,
L000178,930,E-commerce,Paid Ads,Starter,New,11287,In Progress,
L000179,608,IT Services,Outbound,Business,Demo,19210,In Progress,
L000180,752,Professional Services,Referral,Starter,Negotiation,7531,In Progress,
L000181,135,Healthcare,Partner,Business,Proposal,14709,Lost,
L000182,671,Healthcare,Outbound,Business,Proposal,17499,In Progress,
L000183,208,SaaS,Paid Ads,Business,Proposal,7371,In Progress,
L000184,456,E-commerce,Partner,Business,Demo,15413,In Progress,
L000185,665,Education,Partner,Business,Demo,19304,Converted,C0747
L000186,835,Healthcare,Paid Ads,Business,Proposal,4986,Converted,C0478
L000187,764,IT Services,Partner,Business,New,17742,Lost,
L000188,630,Healthcare,Website,Starter,Qualified,12774,Lost,
L000189,570,Marketing,Partner,Business,Demo,19653,In Progress,
L000190,728,SaaS,Paid Ads,Business,Demo,14508,Lost,
L000191,626,Healthcare,Partner,Business,Proposal,16042,Converted,C0597
L000192,442,Professional Services,Paid Ads,Starter,Qualified,8093,Lost,
L000193,337,SaaS,Website,Business,Qualified,8836,Converted,C0733
L000194,469,E-commerce,Referral,Business,Proposal,3356,Converted,C0403
L000195,527,Education,Paid Ads,Starter,Qualified,4495,Lost,
L000196,839,Education,Outbound,Business,Demo,10694,In Progress,
L000197,731,FinTech,Outbound,Business,Demo,14281,Lost,
L000198,986,IT Services,Paid Ads,Business,Demo,1979,Lost,
L000199,364,Education,Website,Business,New,19288,Converted,C0085
L000200,996,Professional Services,Partner,Starter,Qualified,13155,Converted,C0642
L000201,583,Education,Partner,Business,Proposal,13884,Converted,C0253
L000202,202,IT Services,Partner,Starter,Demo,3943,Lost,
L000203,284,E-commerce,Website,Business,Demo,11069,Converted,C0870
L000204,199,E-commerce,Referral,Starter,Demo,19652,Lost,
L000205,830,SaaS,Paid Ads,Business,Proposal,19037,Converted,C0411
L000206,739,IT Services,Referral,Business,Negotiation,4248,Lost,
L000207,157,E-commerce,Outbound,Starter,Demo,2521,In Progress,
L000208,876,SaaS,Partner,Starter,New,3322,In Progress,
L000209,239,IT Services,Referral,Business,Negotiation,13728,Converted,C0203
L000210,299,SaaS,Paid Ads,Business,Demo,9108,In Progress,
L000211,187,Healthcare,Referral,Starter,Qualified,12790,In Progress,
L000212,279,E-commerce,Referral,Starter,Negotiation,8894,In Progress,
L000213,631,Professional Services,Referral,Business,Qualified,12730,Lost,
L000214,729,Professional Services,Paid Ads,Business,Demo,2751,Converted,C0631
L000215,422,E-commerce,Website,Business,Proposal,8021,Lost,
L000216,445,E-commerce,Outbound,Business,Demo,11881,In Progress,
L000217,566,E-commerce,Referral,Starter,Negotiation,10210,Lost,
L000218,90,FinTech,Website,Business,Proposal,1569,In Progress,
L000219,630,E-commerce,Paid Ads,Business,Qualified,16336,In Progress,
