ticket_id,customer_id,timestamp,message,category,resolution_time,resolved
ST000001,C0001,2026-03-23 00:00:00,I need help changing our account settings.,Account,42.88,True
ST000002,C0001,2026-03-23 00:00:00,The application shows an unexpected error.,Bug,40.8,True
ST000003,C0001,2026-03-23 00:00:00,The application shows an unexpected error.,Bug,26.89,True
ST000004,C0001,2026-03-23 00:00:00,We are having problems connecting our tools.,Integration,4.01,True
ST000005,C0001,2026-03-23 00:00:00,I was charged incorrectly this month.,Billing,69.04,False
ST000006,C0001,2026-03-23 00:00:00,I have a question about the product.,Other,42.7,True
ST000007,C0002,2026-01-15 13:35:25,Our integration stopped working.,Integration,71.83,True
ST000008,C0002,2026-02-05 09:12:51,I have a question about the product.,Other,62.8,True
ST000009,C0002,2026-04-09 02:12:50,Can you add more options to the dashboard?,Feature Request,30.95,False
ST000010,C0002,2026-03-12 23:02:53,The integration is not syncing correctly.,Integration,12.31,True
ST000011,C0002,2026-04-15 01:26:37,The integration keeps failing.,Integration,55.04,False
ST000012,C0003,2026-01-04 00:00:00,The integration is not syncing correctly.,Integration,19.96,False
ST000013,C0003,2026-01-19 03:34:54,We are having problems connecting our tools.,Integration,8.68,True
ST000014,C0003,2026-01-17 05:13:25,The integration is not syncing correctly.,Integration,4.54,True
ST000015,C0003,2026-01-18 14:57:52,I have a question about the product.,Other,28.5,True
ST000016,C0003,2026-01-15 04:19:10,I need help changing our account settings.,Account,38.39,True
ST000017,C0003,2026-02-13 13:43:25,It would be useful to have this feature.,Feature Request,52.2,True
ST000018,C0003,2026-01-21 20:34:43,I need help changing our account settings.,Account,3.65,True
ST000019,C0003,2026-03-23 22:50:35,Something is not working correctly.,Bug,69.74,False
ST000020,C0004,2026-04-05 00:00:00,The integration keeps failing.,Integration,38.99,True
ST000021,C0004,2026-04-05 00:00:00,The application has become slower recently.,Performance,52.72,False
ST000022,C0004,2026-04-05 00:00:00,Why was my payment charged twice?,Billing,7.04,True
ST000023,C0004,2026-04-05 00:00:00,I found a bug in the dashboard.,Bug,46.24,False
ST000024,C0004,2026-04-05 00:00:00,Can you add more options to the dashboard?,Feature Request,15.32,True
ST000025,C0004,2026-04-05 00:00:00,Why was my payment charged twice?,Billing,21.33,True
ST000026,C0004,2026-04-05 00:00:00,I have a question about my invoice.,Billing,68.26,True
ST000027,C0004,2026-04-05 00:00:00,I have a question about my invoice.,Billing,18.61,False
ST000028,C0005,2026-03-23 06:44:55,The application shows an unexpected error.,Bug,10.74,True
ST000029,C0005,2026-03-15 10:03:05,The integration is not syncing correctly.,Integration,62.35,True
ST000030,C0006,2026-02-15 19:14:13,I need help with something.,Other,40.58,True
ST000031,C0006,2026-04-25 16:47:16,The integration keeps failing.,Integration,41.41,True
ST000032,C0006,2026-02-01 00:00:00,Why was my payment charged twice?,Billing,52.99,True
ST000033,C0007,2026-01-29 00:00:00,Can you add more options to the dashboard?,Feature Request,44.12,True
ST000034,C0007,2026-04-19 17:02:15,I need help with something.,Other,27.25,True
ST000035,C0007,2026-04-14 02:46:08,I need help with something.,Other,47.67,True
ST000036,C0007,2026-02-25 12:55:00,I cannot access my account.,Account,2.65,True
ST000037,C0007,2026-03-20 22:24:46,Something is not working correctly.,Bug,24.14,True
ST000038,C0007,2026-04-23 04:18:13,The dashboard is loading slowly.,Performance,68.56,True
ST000039,C0007,2026-02-22 14:18:20,The application shows an unexpected error.,Bug,51.5,True
ST000040,C0008,2026-04-22 06:32:35,The integration keeps failing.,Integration,62.72,True
ST000041,C0008,2026-03-06 09:35:06,The dashboard is loading slowly.,Performance,13.22,True
ST000042,C0008,2026-02-03 10:33:39,I have a question about the product.,Other,22.71,True
ST000043,C0008,2026-01-18 02:17:42,I have a question about the product.,Other,61.62,True
ST000044,C0008,2026-03-29 11:30:41,I need help with something.,Other,34.88,True
ST000045,C0008,2026-04-09 11:44:27,I have a question about the product.,Other,69.13,False
ST000046,C0009,2026-04-05 00:00:00,Can you add more options to the dashboard?,Feature Request,70.76,True
ST000047,C0009,2026-04-05 00:00:00,I found a bug in the dashboard.,Bug,68.08,True
